"Processo","Ementa","Autor","Relator","Tramitação","Tramitacao Interna","Dias na Comissão","Dias no Estado Atual"
"PL 401/2024","DENOMINA UBS JARDIM PERI – DR. OSWALDO PEREIRA GUIMARÃES, O PRÓPRIO QUE ESPECIFICA, E DÁ OUTRAS PROVIDÊNCIAS","Ver. PAULO FRANGE (MDB)","Ver. SILVINHO LEITE (UNIÃO)","20/03/2026 11:52:00 - FIN  (Recebido de EDUC)","21/05/2026 05:22 - Consultoria (CTEO.1) / Elaborar Minuta de Relatório","64","2"
"PL 345/2024","INSTITUI O “PROGRAMA BOLSA AUXÍLIO” PARA ASSEGURAR O AUTOSSUSTENTO E A INSERÇÃO SOCIAL, BEM COMO ACOMPANHAR E APOIAR O PROCESSO DE DESLIGAMENTO DOS ADOLESCENTES E JOVENS EM SITUAÇÃO DE ACOLHIMENTO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. DR. ADRIANO SANTOS (PT)Ver. JAIR TATTO (PT)","Ver. KEIT LIMA (PSOL)","23/04/2026 16:28:00 - FIN  (Recebido de SAUDE)","29/04/2026 05:58 - Consultoria (CTEO.1) / Para análise","30","24"
"PL 333/2024","ALTERA A LEI Nº. 14.485, DE 19 DE JULHO DE 2007, COM A FINALIDADE DE INCLUIR NO CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO O DIA DO IMIGRANTE BOLIVIANO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. EDIR SALES (PSD)","Ver. ANA CAROLINA OLIVEIRA (PODE)","13/03/2025 13:34:00 - FIN  (Recebido de SGP22)","09/04/2025 03:05 - Relator(a) / Estudo para manifestação do relator","436","409"
"PL 324/2024","ALTERA A LEI Nº 14.485, DE 19 DE JULHO DE 2007, PARA INCLUIR NO CALENDÁRIO DE EVENTOS DA CIDADE DE SÃO PAULO A VIRADA DO ALVARÁ LEGAL – A SER REALIZADA ANUALMENTE NO DIA 31 DE OUTUBRO - DIA NACIONAL DA DESBUROCRATIZAÇÃO","Ver. ALESSANDRO GUEDES (PT)","Ver. KEIT LIMA (PSOL)","23/04/2026 16:28:00 - FIN  (Recebido de EDUC)","29/04/2026 05:58 - Consultoria (CTEO.1) / Para análise","30","24"
"PL 307/2024","DISPÕE SOBRE A INSTITUIÇÃO DE OPÇÃO DE ALIMENTAÇÃO VEGANA NOS ESTABELECIMENTOS ASSISTENCIAIS NO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. DRA. SANDRA TADEU (PL)Ver. KEIT LIMA (PSOL)","Ver. SILVINHO LEITE (UNIÃO)","07/04/2026 18:47:00 - FIN  (Recebido de SAUDE)","07/04/2026 06:47 - Presidente da Comissão / Designar Relator","46","46"
"PL 296/2024","DISPÕE SOBRE A CRIAÇÃO DO BANCO DE DOAÇÃO DE CABELOS NO ÂMBITO DO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. JAIR TATTO (PT)","Ver. KEIT LIMA (PSOL)","12/09/2025 16:37:00 - FIN  (Recebido de SAUDE)","08/04/2026 04:59 - Relator(a) / Estudo para manifestação do relator","253","45"
"PL 290/2024","DISPÕE SOBRE A DISPONIBILIDADE DE BANHEIROS QUÍMICOS EM EVENTOS ESPORTIVOS EM LOCAIS PÚBLICOS NO MUNICÍPIO DE SÃO PAULO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. JAIR TATTO (PT)","Ver. KEIT LIMA (PSOL)","13/10/2025 14:45:00 - FIN  (Recebido de SAUDE)","16/04/2026 03:14 - Relator(a) / Estudo para manifestação do relator","222","37"
"PL 285/2024","ALTERA A LEI MUNICIPAL Nº DA LEI Nº 14.471, DE 10 DE JULHO DE  2007,  PARA  DECLARAR  A  CIDADE  DE  GUANGHZOU, LOCALIZADA  NA  PROVÍNCIA  DE  GUANGDONG (CANTÃO), NA 
 REPÚBLICA  POPULAR  DA  CHINA,  COMO  CIDADE  IRMÃ  DA CIDADE DE SÃO PAULO.","Ver. GEORGE HATO (MDB)","","21/05/2026 17:59:00 - FIN  (Recebido de EDUC)","21/05/2026 05:59 - Presidente da Comissão / Designar Relator","2","2"
"PL 279/2024","CRIA O PRÊMIO LITERÁRIO ZIRALDO – LER É MELHOR QUE ESTUDAR NO MUNICÍPIO DE SÃO PAULO.","Ver. PROFESSOR TONINHO VESPOLI (PSOL)","Ver. KEIT LIMA (PSOL)","03/11/2025 10:32:00 - FIN  (Recebido de EDUC)","26/03/2026 04:29 - Relator(a) / Estudo para manifestação do relator","201","58"
"PL 264/2024","INSTITUI O MÊS CARAMELO, DEDICADO AOS CUIDADOS E PREVENÇÃO DE DOENÇAS EM ANIMAIS DE ESTIMAÇÃO, PROMOVENDO CAMPANHAS DE VACINAÇÃO E CONSCIENTIZAÇÃO SOBRE O BEM-ESTAR DOS ANIMAIS, ALTERA O CALENDÁRIO OFICIAL DE EVENTOS DA CIDADE DE SÃO PAULO, LEI Nº 14.485, DE 19 DE JULHO DE 2007.","Ver. RODRIGO GOULART (PSD)Ver. THAMMY MIRANDA (PSD)Ver. SILVINHO LEITE (UNIÃO)","Ver. ANA CAROLINA OLIVEIRA (PODE)","23/04/2026 16:28:00 - FIN  (Recebido de EDUC)","29/04/2026 05:58 - Consultoria (CTEO.1) / Para análise","30","24"
"PL 259/2024","DISPÕE SOBRE A CRIAÇÃO DO PROGRAMA EMPREENDEDORISMO PRATEADO, VISANDO A INSERÇÃO DE PESSOAS IDOSAS NO MERCADO DE TRABALHO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. ELI CORRÊA (UNIÃO)Ver. GILBERTO NASCIMENTO (PL)Ver. SILVINHO LEITE (UNIÃO)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","13/10/2025 14:45:00 - FIN  (Recebido de SAUDE)","30/04/2026 03:51 - Relator(a) / Estudo para manifestação do relator","222","23"
"PL 195/2024","DISPÕE SOBRE A INSTITUIÇÃO DE CAMPANHA PERMANENTE DE CONSCIENTIZAÇÃO SOBRE A ENTREGA VOLUNTÁRIA DE RECÉM-NASCIDOS PARA ADOÇÃO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. SANDRA SANTANA (MDB)Ver. SILVINHO LEITE (UNIÃO)","","23/04/2026 16:39:00 - FIN  (Recebido de SAUDE)","23/04/2026 04:39 - Presidente da Comissão / Designar Relator","30","30"
"PL 193/2024","INSTITUI O PROGRAMA CASA SEGURA PARA A ADAPTAÇÃO DO AMBIENTE DOMÉSTICO DE PESSOAS IDOSAS E PESSOAS COM DEFICIÊNCIA DE BAIXA RENDA.","Ver. SANDRA SANTANA (MDB)","","22/05/2026 14:59:10 - FIN  (Pendente recebimento de SAUDE)","","Encaminhado","2"
"PL 186/2024","FICA DETERMINADO QUE O EXECUTIVO MUNICIPAL SOMENTE FIRMARÁ CONTRATOS COM EMPRESAS QUE DESTINE 10% DE SUAS VAGAS DE EMPREGO PARA BENEFICIÁRIOS DO PROGRAMA BOLSA FAMÍLIA E DÁ OUTRAS PROVIDÊNCIAS","Ver. PROFESSOR TONINHO VESPOLI (PSOL)","Ver. KEIT LIMA (PSOL)","14/11/2025 11:11:00 - FIN  (Recebido de SAUDE)","29/11/2025 02:39 - Consultoria (CTEO.1) / Para análise","190","175"
"PL 185/2024","DISPÕE SOBRE A REALIZAÇÃO DE CONVÊNIO ENTRE AS CLÍNICAS, NA FORMA QUE ESPECIFICA, PARA ATENDIMENTOS DE PESSOAS COM TRANSTORNO DE ESPECTRO AUTISTA, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. ISAC FÉLIX (PL)Ver. SILVINHO LEITE (UNIÃO)","Ver. ANA CAROLINA OLIVEIRA (PODE)","05/09/2025 12:08:00 - FIN  (Recebido de SAUDE)","27/11/2025 04:09 - Relator(a) / Estudo para manifestação do relator","260","177"
"PL 168/2024","AUTORIZA TRANSFORMAR A PRAÇA DO SABER, LOCALIZADA NA AVENIDA FLORESTAN FERNANDES, NO JARDIM MONTE BELO, DA SUBPREFEITURA DE PERUS-ANHANGUERA, EM PARQUE MUNICIPAL, E DÁ OUTRAS PROVIDÊNCIAS","Ver. FABIO RIVA (MDB)","Ver. ANA CAROLINA OLIVEIRA (PODE)","17/06/2025 16:43:00 - FIN  (Recebido de URB)","22/10/2025 03:26 - Relator(a) / Estudo para manifestação do relator","340","213"
"PL 153/2024","DISPÕE SOBRE A DENOMINAÇÃO DA VIELA MARIA DOLORES PRAZERES, EM ESPAÇO PÚBLICO INOMINADO, NA ALTURA DO Nº 23 DA RUA OLEIROS, VILA CARMOSINA, SÃO PAULO - SP, 08270-050 E DÁ OUTRAS PROVIDÊNCIAS.","Ver. ALESSANDRO GUEDES (PT)","Ver. KEIT LIMA (PSOL)","13/04/2026 14:58:00 - FIN  (Recebido de EDUC)","29/04/2026 05:41 - Consultoria (CTEO.1) / Para análise","40","24"
"PL 113/2024","DISPÕE SOBRE A DISTRIBUIÇÃO GRATUITA NA REDE MUNICIPAL DE SAÚDE, DE REPELENTES DO MOSQUITO AEDES AEGYPTI: PROGRAMA SÃO PAULO SEM DENGUE.","Ver. THAMMY MIRANDA (PSD)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","28/10/2025 12:06:00 - FIN  (Recebido de ADM)","30/04/2026 04:06 - Relator(a) / Estudo para manifestação do relator","207","23"
"PL 110/2024","DISPÕE SOBRE A CONCESSÃO DE USO DA ÁREA PÚBLICA MUNICIPAL SITUADA NO DISTRITO DA SAÚDE, SUBPREFEITURA DA VILA MARIANA, À ASSOCIAÇÃO BRASIL PARKINSON, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. AURÉLIO NOMURA (PSD)Ver. GILBERTO NASCIMENTO (PL)","Ver. SILVINHO LEITE (UNIÃO)","15/12/2025 14:14:00 - FIN  (Recebido de ADM)","08/04/2026 04:59 - Consultoria (CTEO.1) / Para análise","159","45"
